User_ID,Normalized_Content_Watched,Main_Category_Watched,Sub_Category_Watched
1,0.11262507466783778,Sports,Basketball
2,0.38329923259756915,Entertainment,Music Videos
3,0.9200504347820226,Entertainment,Drama
4,0.7327250352043491,Entertainment,Comedy
5,0.9146037776012755,Education,Lectures
6,0.013328062730783019,Gaming,Role-Playing Games
7,0.7878666913035703,Sports,Soccer
8,0.5831802427888588,Entertainment,Music Videos
9,0.20705842076180048,Entertainment,Music Videos
10,0.5689091427128455,Gaming,eSports
11,0.9160376451435701,Education,Documentaries
12,0.38434373835461233,Gaming,eSports
13,0.2806091780007166,Entertainment,Drama
14,0.033210721392638476,Gaming,PC Gaming
15,0.7960650789553264,Education,Online Courses
16,0.5934209131407349,Entertainment,TV Shows
17,0.7681292332777856,Education,Tutorials
18,0.167386587827979,Education,Workshops
19,0.2924192207522338,Gaming,Role-Playing Games
20,0.4973638175858771,News,Local News
21,0.2970060141475529,Sports,Basketball
22,0.9743268504484884,Education,Tutorials
23,0.5058325615407252,Education,Workshops
24,0.8809340213245442,Sports,Baseball
25,0.2165733907291555,Education,Online Courses
26,0.25238780239945413,Sports,Soccer
27,0.3823461825580182,News,International News
28,0.5952174296043488,Education,Documentaries
29,0.3687157065078307,News,Weather
30,0.9684130298785993,News,Health
31,0.6360681967272251,Sports,Hockey
32,0.5196608549155991,Education,Workshops
33,0.4896354845834969,Education,Workshops
34,0.9191140420527155,Sports,Hockey
35,0.14087342821584448,Entertainment,Drama
36,0.39534938506488915,Gaming,Role-Playing Games
37,0.9211999600132972,News,Local News
38,0.00851012588636002,Gaming,PC Gaming
39,0.2035813406855269,Education,Online Courses
40,0.12824145741823278,Entertainment,Movies
41,0.4786654405885503,Gaming,Mobile Gaming
42,0.6902240506611638,News,Politics
43,0.6217621469562767,Entertainment,Movies
44,0.4856237318042529,Education,Seminars
45,0.11506766774542099,Education,Lectures
46,0.8479554138708362,Gaming,Console Gaming
47,0.1811715503613992,Sports,Basketball
48,0.6240651729695164,Entertainment,Music Videos
49,0.022632166038777934,Entertainment,Movies
50,0.7619803004970825,Gaming,Role-Playing Games
51,0.035130429843776234,News,Local News
52,0.157968172145879,Gaming,Strategy Games
53,0.045329998984591335,Education,Tutorials
54,0.6449119030559253,News,Weather
55,0.5334694969512482,Entertainment,Music Videos
56,0.5858825936021015,Sports,Tennis
57,0.22535708451214898,Education,Documentaries
58,0.8255844179155531,Sports,Hockey
59,0.3131179986503416,Gaming,PC Gaming
60,0.7435348100612678,Gaming,Mobile Gaming
61,0.6959004726818072,Gaming,eSports
62,0.5747587207553387,Gaming,Mobile Gaming
63,0.7032356777536812,Education,Seminars
64,0.7896481978677624,News,Politics
65,0.63129285037402,News,Local News
66,0.3505923682877784,Sports,Basketball
67,0.9533483245334717,News,Technology News
68,0.38897503511110254,News,Health
69,0.9793206117766011,News,Weather
70,0.10305654938620701,Education,Lectures
71,0.7846811882901858,Entertainment,Music Videos
72,0.7383196086550506,Sports,Baseball
73,0.23735328753685492,Education,Workshops
74,0.9719530885663018,Entertainment,Movies
75,0.4004006745985186,News,Technology News
76,0.008080953985288852,Education,Workshops
77,0.6614708548376207,Gaming,Strategy Games
78,0.12949307898415285,Education,Online Courses
79,0.9106668286768307,Gaming,eSports
80,0.30954478982247313,Sports,Hockey
81,0.42350974913354156,Sports,Soccer
82,0.5654822964819384,Entertainment,Documentaries
83,0.2262841069876642,News,Local News
84,0.6519207224319913,Entertainment,Comedy
85,0.522468961256339,Sports,Basketball
86,0.056657333309024005,Sports,Tennis
87,0.9815446508524028,Gaming,Role-Playing Games
88,0.4652665785282679,Sports,Baseball
89,0.7787211891639568,News,Politics
